uniprot,gene,skin_score,tier,cell_type_preferred,worth_curating,evidence_exists_elsewhere,work_needed,druggable_class,structural_family,protein_class,description
P08779,KRT16,0.6937299674001023,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 16
Q9HCY8,S100A14,0.6935179298125703,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted intracellular proteins",S100 calcium binding protein A14
O95715,CXCL14,0.6927910975618141,high,basal keratinocytes,False,False,not in a druggable class - low priority,False,False,Predicted secreted proteins,C-X-C motif chemokine ligand 14
P61927,RPL37,0.6890235575855453,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Essential proteins, Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein L37
P0CG48,UBC,0.6859268092805589,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Ubiquitin C
P01040,CSTA,0.6846203303748664,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Cystatin A
O95274,LYPD3,0.6804361687529403,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,Predicted membrane proteins,LY6/PLAUR domain containing 3
Q9BPY8,HOPX,0.6793016345432711,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Predicted intracellular proteins, Transcription factors",HOP homeobox
P06396,GSN,0.6773415482350329,high,fibroblasts,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Gelsolin
Q9NQ38,SPINK5,0.6768849813596578,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Serine peptidase inhibitor Kazal type 5
Q9NZT1,CALML5,0.6691291672292257,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins",Calmodulin like 5
P08493,MGP,0.6688148061201293,high,fibroblasts,False,False,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Matrix Gla protein
P35908,KRT2,0.6680905089770157,high,suprabasal keratinocytes,False,False,structural protein - skip,True,True,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 2
P26651,ZFP36,0.6622398564245189,high,vascular endothelial cells,False,False,not in a druggable class - low priority,False,False,Predicted intracellular proteins,ZFP36 ring finger protein
P01034,CST3,0.6609270918058334,high,fibroblasts,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Cystatin C
