normalised,display_name,smiles,inchikey,source,is_ingredient_name
l cysteine,l-cysteine,NC(CS)C(=O)O,XUJNEKJLAYXESH-UHFFFAOYSA-N,ChEMBL,False
l cysteine hcl,l-cysteine hcl,NC(CS)C(=O)O,XUJNEKJLAYXESH-UHFFFAOYSA-N,ChEMBL,False
l cysteine hydrochloride,l-cysteine hydrochloride,NC(CS)C(=O)O,XUJNEKJLAYXESH-UHFFFAOYSA-N,ChEMBL,False
l cysteine hydrochloride hydrate,l-cysteine hydrochloride hydrate,NC(CS)C(=O)O,XUJNEKJLAYXESH-UHFFFAOYSA-N,ChEMBL,False
l cystine,l-cystine,NC(CSSCC(N)C(=O)O)C(=O)O,LEVWYRKDKASIDU-UHFFFAOYSA-N,ChEMBL,False
l desoxyephedrine,l-desoxyephedrine,CNC(C)Cc1ccccc1,MYWUZJCMWCOHBA-UHFFFAOYSA-N,ChEMBL,False
l dicysteine,l-dicysteine,NC(CSSCC(N)C(=O)O)C(=O)O,LEVWYRKDKASIDU-UHFFFAOYSA-N,GtoPdb,False
l ephedrine,l-ephedrine,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,ChEMBL,False
l ephedrine hydrochloride,l-ephedrine hydrochloride,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,ChEMBL,False
l epicatechin,l-epicatechin,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,PFTAWBLQPZVEMU-UHFFFAOYSA-N,GtoPdb,False
l fenchone,(l)-fenchone,CC12CCC(C1)C(C)(C)C2=O,LHXDLQBQYFFVNW-UHFFFAOYSA-N,ChEMBL,False
l fenfluramine,l-fenfluramine,CCNC(C)Cc1cccc(C(F)(F)F)c1,DBGIVFWFUFKIQN-UHFFFAOYSA-N,ChEMBL,False
l fucopyranose,l-fucopyranose,CC(=O)C(O)C(O)C(O)CO,IXDZFGATLNCIOI-UHFFFAOYSA-N,ChEMBL,False
l fucose,l-fucose,CC(=O)C(O)C(O)C(O)CO,IXDZFGATLNCIOI-UHFFFAOYSA-N,ChEMBL,False
l galactomethylose,l-galactomethylose,CC(=O)C(O)C(O)C(O)CO,IXDZFGATLNCIOI-UHFFFAOYSA-N,ChEMBL,False
l glu,l-glu,NC(CCC(=O)O)C(=O)O,WHUUTDBJXJRKMK-UHFFFAOYSA-N,GtoPdb,False
l glucose,l-glucose,O=C(C(O)CO)C(O)C(O)CO,DWJZKGYQNOQQEZ-UHFFFAOYSA-N,GtoPdb,False
l glutamate,l-glutamate,NC(CCC(=O)O)C(=O)O,WHUUTDBJXJRKMK-UHFFFAOYSA-N,ChEMBL,False
l glutamic acid,l-glutamic acid,NC(CCC(=O)O)C(=O)O,WHUUTDBJXJRKMK-UHFFFAOYSA-N,ChEMBL,False
l glutamic acid hydrochloride,l-glutamic acid hydrochloride,NC(CCC(=O)O)C(=O)O,WHUUTDBJXJRKMK-UHFFFAOYSA-N,ChEMBL,False
l glutamine,l-glutamine,NC(=O)CCC(N)C(=O)O,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,GtoPdb,False
l glutathione reduced,l-glutathione reduced,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,RWSXRVCMGQZWBV-UHFFFAOYSA-N,ChEMBL,False
l his,l-his,NC(Cc1c[nH]cn1)C(=O)O,HNDVDQJCIGZPNO-UHFFFAOYSA-N,GtoPdb,False
l histidine,l-histidine,NC(Cc1c[nH]cn1)C(=O)O,HNDVDQJCIGZPNO-UHFFFAOYSA-N,ChEMBL,False
l ile,l-ile,CCC(C)C(N)C(=O)O,AGPKZVBTJJNPAG-UHFFFAOYSA-N,GtoPdb,False
l isoleucine,l-isoleucine,CCC(C)C(N)C(=O)O,AGPKZVBTJJNPAG-UHFFFAOYSA-N,GtoPdb,False
l lactate,l-lactate,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,GtoPdb,False
l lactic acid,l-lactic acid,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
l lactic acid or dl lactic acid,l-lactic acid or dl-lactic acid,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
l leu,l-leu,CC(C)CC(N)C(=O)O,ROHFNLRQFUQHCH-UHFFFAOYSA-N,GtoPdb,False
